k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,lastNum,num
28.8,2,0,74.4,28,14.9090909090909,37.8571428571429,6.42105263157895,120,5.66666666666667,4,157.666666666667,3832,7957
28.8,1.33333333333333,20,49.6,28,0,30,6.21052631578947,52,4.66666666666667,0,139.333333333333,3885,7854
24.8,1.96666666666667,0,39.2,37.3333333333333,8.72727272727273,28.5714285714286,5.89473684210526,68,3.33333333333333,8,80.6666666666667,2944,6108
26.8,1.96666666666667,0,60,30.6666666666667,8.72727272727273,23.5714285714286,6.42105263157895,52,4,8,93.5,2409,4906
30.4,1.83333333333333,0,80,66.6666666666667,8.90909090909091,38.5714285714286,6.42105263157895,88,5.33333333333333,8,176,3615,4597
23.6,1.53333333333333,20.625,76,50.6666666666667,3.09090909090909,38.5714285714286,8.63157894736842,100,8.33333333333333,0,115.5,3871,5916
27.2,2.7,0,76.8,24.6666666666667,3.09090909090909,43.5714285714286,8.10526315789474,80,9.33333333333333,0,172.333333333333,4532,6656
24.4,2.16666666666667,20,71.2,38.6666666666667,3.09090909090909,40.7142857142857,8.94736842105263,88,8,0,128.333333333333,3256,7172
22.4,1.16666666666667,0,56,24,2.90909090909091,22.1428571428571,9.26315789473684,44,5.66666666666667,0,115.5,3071,7042
24,0.966666666666667,0,49.6,36.6666666666667,2.90909090909091,25,8.21052631578947,76,5.66666666666667,0,113.666666666667,3166,5760
23.6,1.83333333333333,19.375,71.2,42,8.90909090909091,33.5714285714286,9.47368421052632,232,7,23,177.833333333333,3343,4936
20.8,1,60,64.8,32,9.09090909090909,32.8571428571429,10.5263157894737,132,5.66666666666667,16,88,4949,5335
20.8,1,0,60,38.6666666666667,9.09090909090909,38.5714285714286,10.5263157894737,148,5.33333333333333,0,133.833333333333,6049,5562
18,1.2,0,47.2,32,0,31.4285714285714,10,140,5.33333333333333,4,93.5,7642,5664
18.8,1.86666666666667,0,42.4,32,3.09090909090909,33.5714285714286,8.8421052631579,104,6.66666666666667,16,122.833333333333,7957,5057
